"Plot","Tea_ID","Green","Rooibos","stab","ar","rate","Angle","New distances","ALT","Soilmoist","Distance","Spiral","Vegetation","Soil"
"East Creek South",113,33.7778465346535,12.8838547285149,0.598837927141883,0.221441464217681,0.0311370586841009,225,20,48.5,21.9,15,15,"Willow shrub","Dense mesic"
"East Creek South",114,35.5900621118012,13.4383852691218,0.577315176819463,0.233322022395657,0.030640159398935,270,24,18,14.7,1,16,"Moss","Dense mesic"
"East Creek South",115,38.0517840227344,12.4261447562777,0.548078574551847,0.24946062684738,0.0246212568250678,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek South",116,39.7583697234352,12.8228571428571,0.527810335826185,0.260648694623946,0.0241854958289444,270,7.5,23.3,22.4,17.5,17,"Moss","Moss"
"East Creek South",117,44.787969924812,10.773313115997,0.468076366688693,0.293621845587841,0.0163265898142305,270,0,64.4,26.9,30,18,"Moss","Moss"
"East Creek South",118,40.6469331705829,10.1206581352834,0.517257325765049,0.266473956177693,0.017061139198284,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek South",119,NA,11.342543393553,NA,NA,NA,315,11.75,38.2,27.8,1.75,19,"Dryas","Dense mesic"
"East Creek South",120,37.4045112781955,10.5930018416206,0.555765899308842,0.245217223581519,0.0202002292482297,315,30,40.4,36.2,20,20,"Bare soil","Mineral"
"East Creek South",97,38.9850655288022,14.0534521158129,0.536994471154368,0.255579051922789,0.0285075887574737,0,27.6,37.4,23.8,0.1,1,"Forbs","Dense mesic"
"East Creek South",98,38.2991985752449,16.1659192825112,0.545140159438897,0.251082631989729,0.0368714023286875,0,30,53.3,27.4,2.5,2,"Moss","Dense mesic"
"East Creek South",99,33.6534383520145,11.1508085746521,0.600315459002203,0.220625866630784,0.0251443035119366,0,50,24.7,38.7,22.5,3,"Litter","Dense mesic"
"East Creek Wet",121,35.3902154921374,18.6261510128913,0.579688652112382,0.232011864033965,0.0579853207541101,0,22.4,18.5,36.9,0.1,1,"Willow shrub","Loose fibric"
"East Creek Wet",122,34.9842569269521,12.415080253826,0.584510012744036,0.229350472965292,0.0278353969915727,0,20,33.7,39.7,2.5,2,"Willow shrub","Loose fibric"
"East Creek Wet",123,35.0957095709571,15.3210010881393,0.583186347138277,0.230081136379671,0.0391536317410559,0,0,31.5,51.7,22.5,3,"Willow shrub","Loose fibric"
"East Creek Wet",124,38.1264330167049,14.7521246458924,0.547192006927496,0.249950012176022,0.0318604770789731,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek Wet",125,33.0924369747899,16.0719754977029,0.606978183197269,0.216948042875107,0.0482227827667615,45,4.8,21.6,34.9,0.2,4,"Willow shrub","Dense mesic"
"East Creek Wet",126,45.7340533243334,4.23050615595075,0.456840221801265,0.299824197565702,0.00543222367293747,45,0,35.2,51.9,5,5,"Willow shrub","Loose fibric"
"East Creek Wet",127,36.0502512562814,15.3441715669319,0.571849747550102,0.236338939352344,0.0374166209559838,90,25.3,18.8,43.1,0.3,6,"Willow shrub","Loose fibric"
"East Creek Wet",128,36.5841902313625,13.5447338618347,0.565508429556265,0.239839346884942,0.0297077209955165,90,32.5,57.6,42.9,7.5,7,"Willow shrub","Dense mesic"
"East Creek Wet",129,39.0304295942721,13.3562349708004,0.53645570553121,0.255876450546772,0.026360799277026,90,50,61.3,30.9,25,8,"Willow shrub","Loose fibric"
"East Creek Wet",130,36.4650406504065,14.7364620938628,0.566923507714887,0.239058223741382,0.0342233757733012,135,9.6,31.5,51.7,0.4,9,"Willow shrub","Dense mesic"
